ticks,col0,col1,col2,col3,col4,col5
0.068055556,0.083502918,0.110538522,0.110847622,0.110777103,0.112235614,0.091687258
0.06875,0.089865342,0.110847622,0.110777103,0.112235614,0.091687258,0.083502918
0.069444444,0.083082892,0.110777103,0.112235614,0.091687258,0.083502918,0.089865342
0.070138889,0.084237707,0.112235614,0.091687258,0.083502918,0.089865342,0.083082892
0.070833333,0.076877721,0.091687258,0.083502918,0.089865342,0.083082892,0.084237707
0.071527778,0.066931431,0.083502918,0.089865342,0.083082892,0.084237707,0.076877721
0.072222222,0.076229665,0.089865342,0.083082892,0.084237707,0.076877721,0.066931431
0.072916667,0.070816161,0.083082892,0.084237707,0.076877721,0.066931431,0.076229665
0.073611111,0.081133577,0.084237707,0.076877721,0.066931431,0.076229665,0.070816161
0.074305556,0.072759814,0.076877721,0.066931431,0.076229665,0.070816161,0.081133577
0.075,0.066096525,0.066931431,0.076229665,0.070816161,0.081133577,0.072759814
0.075694444,0.075381119,0.076229665,0.070816161,0.081133577,0.072759814,0.066096525
0.076388889,0.065988173,0.070816161,0.081133577,0.072759814,0.066096525,0.075381119
0.077083333,0.066039647,0.081133577,0.072759814,0.066096525,0.075381119,0.065988173
0.077777778,0.068514509,0.072759814,0.066096525,0.075381119,0.065988173,0.066039647
0.078472222,0.068259713,0.066096525,0.075381119,0.065988173,0.066039647,0.068514509
0.079166667,0.056754796,0.075381119,0.065988173,0.066039647,0.068514509,0.068259713
0.079861111,0.057663052,0.065988173,0.066039647,0.068514509,0.068259713,0.056754796
0.080555556,0.059332863,0.066039647,0.068514509,0.068259713,0.056754796,0.057663052
0.08125,0.062081823,0.068514509,0.068259713,0.056754796,0.057663052,0.059332863
0.081944444,0.068224711,0.068259713,0.056754796,0.057663052,0.059332863,0.062081823
0.082638889,0.06302225,0.056754796,0.057663052,0.059332863,0.062081823,0.068224711
0.083333333,0.054846403,0.057663052,0.059332863,0.062081823,0.068224711,0.06302225
0.084027778,0.059720461,0.059332863,0.062081823,0.068224711,0.06302225,0.054846403
0.084722222,0.052371284,0.062081823,0.068224711,0.06302225,0.054846403,0.059720461
0.085416667,0.047543295,0.068224711,0.06302225,0.054846403,0.059720461,0.052371284
0.086111111,0.0561909,0.06302225,0.054846403,0.059720461,0.052371284,0.047543295
0.086805556,0.066250947,0.054846403,0.059720461,0.052371284,0.047543295,0.0561909
0.0875,0.059991471,0.059720461,0.052371284,0.047543295,0.0561909,0.066250947
0.088194444,0.055887462,0.052371284,0.047543295,0.0561909,0.066250947,0.059991471
0.088888889,0.061794342,0.047543295,0.0561909,0.066250947,0.059991471,0.055887462
0.089583333,0.048443315,0.0561909,0.066250947,0.059991471,0.055887462,0.061794342
0.090277778,0.051362911,0.066250947,0.059991471,0.055887462,0.061794342,0.048443315
0.090972222,0.042305832,0.059991471,0.055887462,0.061794342,0.048443315,0.051362911
0.091666667,0.049828476,0.055887462,0.061794342,0.048443315,0.051362911,0.042305832
0.092361111,0.045973601,0.061794342,0.048443315,0.051362911,0.042305832,0.049828476
0.093055556,0.054773311,0.048443315,0.051362911,0.042305832,0.049828476,0.045973601
0.09375,0.059593063,0.051362911,0.042305832,0.049828476,0.045973601,0.054773311
0.094444444,0.048942097,0.042305832,0.049828476,0.045973601,0.054773311,0.059593063
0.095138889,0.048088146,0.049828476,0.045973601,0.054773311,0.059593063,0.048942097
0.095833333,0.052723622,0.045973601,0.054773311,0.059593063,0.048942097,0.048088146
0.096527778,0.058365155,0.054773311,0.059593063,0.048942097,0.048088146,0.052723622
0.097222222,0.060509298,0.059593063,0.048942097,0.048088146,0.052723622,0.058365155
0.097916667,0.05715063,0.048942097,0.048088146,0.052723622,0.058365155,0.060509298
0.098611111,0.041516996,0.048088146,0.052723622,0.058365155,0.060509298,0.05715063
0.099305556,0.044480087,0.052723622,0.058365155,0.060509298,0.05715063,0.041516996
0.1,0.046862811,0.058365155,0.060509298,0.05715063,0.041516996,0.044480087
0.100694444,0.035997714,0.060509298,0.05715063,0.041516996,0.044480087,0.046862811
0.101388889,0.042156816,0.05715063,0.041516996,0.044480087,0.046862811,0.035997714
0.102083333,0.04042189,0.041516996,0.044480087,0.046862811,0.035997714,0.042156816
0.102777778,0.033205515,0.044480087,0.046862811,0.035997714,0.042156816,0.04042189
0.103472222,0.041807051,0.046862811,0.035997714,0.042156816,0.04042189,0.033205515
0.104166667,0.039435136,0.035997714,0.042156816,0.04042189,0.033205515,0.041807051
0.104861111,0.041704103,0.042156816,0.04042189,0.033205515,0.041807051,0.039435136
0.105555556,0.042002394,0.04042189,0.033205515,0.041807051,0.039435136,0.041704103
0.10625,0.044669768,0.033205515,0.041807051,0.039435136,0.041704103,0.042002394
