datetime,val0,temp,demand
9/30/13 03:08,2878.376,32,2911.081
9/30/13 03:09,2935.381,35,2878.376
9/30/13 03:10,2916.285,35,2935.381
9/30/13 03:11,2902.181,32,2916.285
9/30/13 03:12,2919.466,35,2902.181
9/30/13 03:13,2941.174,35,2919.466
9/30/13 03:14,2949.958,34,2941.174
9/30/13 03:15,2956.468,34,2949.958
9/30/13 03:16,2877.27,35,2956.468
9/30/13 03:17,2920.34,35,2877.27
9/30/13 03:18,2874.205,30,2920.34
9/30/13 03:19,2896.756,34,2874.205
9/30/13 03:20,2907.321,32,2896.756
9/30/13 03:21,2890.616,30,2907.321
9/30/13 03:22,2870.877,31,2890.616
9/30/13 03:23,2883.084,30,2870.877
9/30/13 03:24,2904.319,32,2883.084
9/30/13 03:25,2889.173,34,2904.319
9/30/13 03:26,2924.69,34,2889.173
9/30/13 03:27,2877.07,32,2924.69
9/30/13 03:28,2896.651,33,2877.07
9/30/13 03:29,2906.152,32,2896.651
9/30/13 03:30,2842.311,35,2906.152
9/30/13 03:31,2916.453,30,2842.311
9/30/13 03:32,2905.004,33,2916.453
9/30/13 03:33,2900.769,33,2905.004
9/30/13 03:34,2893.449,34,2900.769
9/30/13 03:35,2942.448,35,2893.449
9/30/13 03:36,2893.912,31,2942.448
9/30/13 03:37,2909.017,33,2893.912
9/30/13 03:38,2865.421,31,2909.017
9/30/13 03:39,2930.957,32,2865.421
9/30/13 03:40,2894.934,35,2930.957
9/30/13 03:41,2870.835,35,2894.934
9/30/13 03:42,2890.036,33,2870.835
9/30/13 03:43,2861.745,35,2890.036
9/30/13 03:44,2868.875,33,2861.745
9/30/13 03:45,2872.731,33,2868.875
9/30/13 03:46,2896.567,30,2872.731
9/30/13 03:47,2899.369,34,2896.567
9/30/13 03:48,2971.467,32,2899.369
9/30/13 03:49,2900.896,32,2971.467
9/30/13 03:50,2900.633,31,2900.896
9/30/13 03:51,2884.117,35,2900.633
9/30/13 03:52,2870.508,32,2884.117
9/30/13 03:53,2894.523,30,2870.508
9/30/13 03:54,2930.578,32,2894.523
9/30/13 03:55,2940.447,31,2930.578
9/30/13 03:56,2898.831,31,2940.447
9/30/13 03:57,2937.287,33,2898.831
9/30/13 03:58,2919.276,32,2937.287
9/30/13 03:59,2917.306,35,2919.276
9/30/13 04:00,2965.284,35,2917.306
9/30/13 04:01,2923.7,33,2965.284
9/30/13 04:02,2921.835,32,2923.7
9/30/13 04:03,2902.444,33,2921.835
9/30/13 04:04,2950.243,31,2902.444
9/30/13 04:05,2912.103,34,2950.243
9/30/13 04:06,2913.325,30,2912.103
9/30/13 04:07,2952.329,31,2913.325
9/30/13 04:08,2948.558,34,2952.329
9/30/13 04:09,2967.854,33,2948.558
9/30/13 04:10,2904.509,30,2967.854
9/30/13 04:11,2956.668,33,2904.509
9/30/13 04:12,2978.44,32,2956.668
9/30/13 04:13,2937.962,31,2978.44
9/30/13 04:14,2921.993,35,2937.962
9/30/13 04:15,2964.557,34,2921.993
9/30/13 04:16,2935.244,34,2964.557
9/30/13 04:17,2985.581,31,2935.244
9/30/13 04:18,2954.414,33,2985.581
9/30/13 04:19,2937.551,31,2954.414
9/30/13 04:20,2969.655,35,2937.551
9/30/13 04:21,2986.023,35,2969.655
9/30/13 04:22,2964.61,32,2986.023
9/30/13 04:23,2964.589,34,2964.61
9/30/13 04:24,2996.946,34,2964.589
9/30/13 04:25,2942.333,30,2996.946
9/30/13 04:26,2957.237,30,2942.333
9/30/13 04:27,2967.938,35,2957.237
9/30/13 04:28,2978.05,31,2967.938
9/30/13 04:29,3020.393,31,2978.05
9/30/13 04:30,2978.977,33,3020.393
9/30/13 04:31,3019.866,30,2978.977
9/30/13 04:32,2995.988,34,3019.866
9/30/13 04:33,3007.616,31,2995.988
9/30/13 04:34,3048.116,32,3007.616
9/30/13 04:35,3069.361,30,3048.116
9/30/13 04:36,3086.256,35,3069.361
9/30/13 04:37,3047.052,32,3086.256
9/30/13 04:38,3072.036,31,3047.052
9/30/13 04:39,3046.178,34,3072.036
9/30/13 04:40,3111.883,35,3046.178
9/30/13 04:41,3126.039,35,3111.883
9/30/13 04:42,3075.828,35,3126.039
9/30/13 04:43,3073.058,32,3075.828
9/30/13 04:44,3079.536,32,3073.058
9/30/13 04:45,3075.881,35,3079.536
9/30/13 04:46,3143.323,31,3075.881
9/30/13 04:47,3103.182,34,3143.323
9/30/13 04:48,3139.195,34,3103.182
9/30/13 04:49,3115.063,33,3139.195
9/30/13 04:50,3105.826,34,3115.063
9/30/13 04:51,3182.159,35,3105.826
9/30/13 04:52,3163.821,34,3182.159
9/30/13 04:53,3140.722,30,3163.821
9/30/13 04:54,3154.036,35,3140.722
9/30/13 04:55,3170.93,33,3154.036
9/30/13 04:56,3170.952,31,3170.93
9/30/13 04:57,3193.587,33,3170.952
9/30/13 04:58,3226.872,31,3193.587
9/30/13 04:59,3209.176,31,3226.872
9/30/13 05:00,3199.717,32,3209.176
9/30/13 05:01,3258.923,30,3199.717
9/30/13 05:02,3263,31,3258.923
9/30/13 05:03,3280.927,30,3263
9/30/13 05:04,3320.626,32,3280.927
9/30/13 05:05,3359.787,33,3320.626
